CODE,MFR,MODEL,NO-ENG,NO-SEATS,RANGE [KM],OEW [KG],MTOW [KG],OEW/MTOW,THRUST [kN],TAKE OFF length [m],Wingspan [m],LIST PRICE [M$],PROGRAM COST [M$]
3940019,AIRBUS,A318,2,117,5741,39500,68000,0.5808823529,200,1780,,63,
,AIRBUS,A220-100,2,110,6300,35220,63100,0.5581616482,190,1463,,81,7000
,ANTONOV,AN 158,2,90,2500,22999,43700,0.5262929062,134,1900,,29,592
,BOEING,727-100,3,125,4170,39800,76700,0.518904824,186,2500,,22 (1982),
,BOEING,737-100,2,110,2850,28000,50000,0.56,124,1900,,27.2,
1384485,BOEING,737-500,2,122,4000,33000,64000,0.515625,200,2400,,32,
13844GD,BOEING CO,737-600,2,128,8150,37648,70080,0.5372146119,180,2000,,57,
,BOMBARDIER,CRJ1000,2,100,3000,23188,41640,0.5568683958,129,2120,,50,
1500258,BRITISH AEROSPACE,BAE 146-300,4,100,3340,25640,44225,0.5797625777,124.4,1535,,28,350
1500265,BRITISH AEROSPACE,BAE 146-200,4,100,3650,24600,42184,0.5831594918,124.4,1390,,32,350
,COMAC,ARJ21-900,2,105,3300,26770,47182,0.5673773897,164,1950,,40,
2423308,CONVAIR,990A,4,106,6115,60328,114759,0.525692974,280,3000,,,
,CONVAIR,CV880 22M,4,110,4636,43000,83688,0.513813211,207,2300,,,
,EMBRAER,E195,2,120,4260,28667,52290,0.5482310193,178,2179,,50.6,
,EMBRAER,E190,2,104,5280,33000,56400,0.585106383,178,2100,,53.5,
,FOKKER,F100 T620,2,107,2450,24375,43090,0.5656764911,123.2,1520,,30,
,FOKKER,F100 T650,2,107,3170,24541,45810,0.5357127265,134.4,1621,,30,
,MCDONNELL DOUGLAS,DC-9-15,2,90,2400,22300,41141,0.5420383559,130,2100,,,
,MCDONNELL DOUGLAS,DC-9-21,2,90,2800,23879,45359,0.5264445865,130,2100,,,
302206C,MCDONNELL DOUGLAS,DC-9-32,2,115,2800,25600,49000,0.5224489796,130,2100,,,
302207P,MCDONNELL DOUGLAS,DC-9-41,2,128,2200,27821,51710,0.5380197254,130,2100,,,
,MITSUBISHI,M90,2,88,3770,26000,42800,0.6074766355,156.4,1740,,47.3,7470
,SUKHOI,SSJ100 ER,2,98,4578,25100,49450,0.5075834176,137,1731,,50.1,1500
,SUKHOI,SSJ100,2,98,3048,24250,45880,0.5285527463,137,1731,,50.1,1500
,YAKOLEY,YAK 42,3,120,4000,33000,57500,0.5739130435,190,1800,,36,
,MCDONNELL DOUGLAS,MD-87,2,120,5400,33200,65000,0.5107692308,175,2300,,45,